Film,Year,,,,,
Zack and Miri Make a Porno,2008,,,,,
Youth in Revolt,2010,,,,,
You Will Meet a Tall Dark Stranger,2010,,,,,
When in Rome,2010,,,,,
What Happens in Vegas,2008,,,,,
Water For Elephants,2011,,,,,
WALL-E,2008,,,,,
Waitress,2007,,,,,
Waiting For Forever,2011,,,,,
Valentine's Day,2010,,,,,
Tyler Perry's Why Did I get Married,2007,,,,,
Twilight: Breaking Dawn,2011,,,,,
Twilight,2008,,,,,
The Ugly Truth,2009,,,,,
The Twilight Saga: New Moon,2009,,,,,
The Time Traveler's Wife,2009,,,,,
The Proposal,2009,,,,,
The Invention of Lying,2009,,,,,
The Heartbreak Kid,2007,,,,,
The Duchess,2008,,,,,
The Curious Case of Benjamin Button,2008,,,,,
The Back-up Plan,2010,,,,,
Tangled,2010,,,,,
Something Borrowed,2011,,,,,
She's Out of My League,2010,,,,,
Sex and the City Two,2010,,,,,
Sex and the City 2,2010,,,,,
Sex and the City,2008,,,,,
Remember Me,2010,,,,,
Rachel Getting Married,2008,,,,,
Penelope,2008,,,,,
P.S. I Love You,2007,,,,,
Over Her Dead Body,2008,,,,,
Our Family Wedding,2010,,,,,
One Day,2011,,,,,
Not Easily Broken,2009,,,,,
No Reservations,2007,,,,,
Nick and Norah's Infinite Playlist,2008,,,,,
New Year's Eve,2011,,,,,
My Week with Marilyn,2011,,,,,
Music and Lyrics,2007,,,,,
Monte Carlo,2011,,,,,
Miss Pettigrew Lives for a Day,2008,,,,,
Midnight in Paris,2011,,,,,
Marley and Me,2008,,,,,
Mamma Mia!,2008,,,,,
Mamma Mia!,2008,,,,,
Made of Honor,2008,,,,,
Love Happens,2009,,,,,
Love & Other Drugs,2010,,,,,
Life as We Know It,2010,,,,,
License to Wed,2007,,,,,
Letters to Juliet,2010,,,,,
Leap Year,2010,,,,,
Knocked Up,2007,,,,,
Killers,2010,,,,,
Just Wright,2010,,,,,
Jane Eyre,2011,,,,,
It's Complicated,2009,,,,,
I Love You Phillip Morris,2010,,,,,
High School Musical 3: Senior Year,2008,,,,,
He's Just Not That Into You,2009,,,,,
Good Luck Chuck,2007,,,,,
Going the Distance,2010,,,,,
Gnomeo and Juliet,2011,,,,,
Gnomeo and Juliet,2011,,,,,
Ghosts of Girlfriends Past,2009,,,,,
Four Christmases,2008,,,,,
Fireproof,2008,,,,,
Enchanted,2007,,,,,
Dear John,2010,,,,,
Beginners,2011,,,,,
Across the Universe,2007,,,,,
A Serious Man,2009,,,,,
A Dangerous Method,2011,,,,,
27 Dresses,2008,,,,,
(500) Days of Summer,2009,,,,,